tweet,sentiment_class,user,sex,hour_of_day,total_comments,total_likes,total_impressions,tweet_length,verified_user,reply_to_verified,primary_topic,secondary_topic
Just had the most amazing coffee this morning! ☕ Perfect way to start the day,positive,@coffee_lover23,female,8,12,89,2341,71,false,false,food_drinks,arts_culture
Stuck in traffic again... this commute is killing me 😤,negative,@daily_commuter,male,7,3,15,892,54,false,false,transportation,personal_development
The new restaurant downtown has incredible pasta! Highly recommend 🍝,positive,@foodie_adventures,female,19,8,156,4523,68,true,false,food_drinks,personal_development
Can't believe how rude some people are at the grocery store today,negative,@suburban_mom,female,14,5,23,1567,65,false,false,shopping_retail,personal_development
Beautiful sunset tonight! Nature never fails to amaze me 🌅,positive,@nature_photographer,male,20,18,234,6789,58,true,false,nature_environment,personal_development
This weather is absolutely perfect for a walk in the park,positive,@weekend_walker,female,16,2,45,1234,56,false,false,nature_environment,food_drinks
Another meeting that could have been an email... corporate life 🙄,negative,@office_worker_99,male,10,15,78,2345,60,false,false,work_business,communication
My dog just learned a new trick! So proud of him 🐕,positive,@dog_parent_life,female,18,7,92,2876,49,false,false,pets_animals,personal_development
The book I'm reading is absolutely captivating! Can't put it down,positive,@bookworm_reader,female,22,4,67,1987,60,false,false,entertainment,personal_development
Traffic lights are broken downtown. Complete chaos out there,negative,@city_reporter,male,12,9,34,5432,59,true,false,transportation,personal_development
Just finished a great workout session! Feeling energized 💪,positive,@fitness_enthusiast,male,6,11,145,3456,54,false,false,work_business,food_drinks
The service at this restaurant is incredibly slow tonight,negative,@dinner_critic,female,20,6,28,1876,52,false,false,food_drinks,shopping_retail
My favorite band just announced a new tour! So excited 🎵,positive,@music_fan_2023,female,15,23,189,4567,54,false,false,entertainment,personal_development
Rain ruining my outdoor plans again... typical weekend weather,negative,@outdoor_adventurer,male,11,4,19,876,58,false,false,nature_environment,food_drinks
This new podcast episode is absolutely brilliant! Must listen,positive,@podcast_addict,male,21,8,73,2134,59,false,false,entertainment,personal_development
Long lines everywhere at the mall today. Holiday shopping madness,negative,@holiday_shopper,female,13,7,31,1543,64,false,false,shopping_retail,seasonal_holidays
My garden is finally blooming! Spring is here 🌸,positive,@green_thumb_gardener,female,17,12,98,2765,44,false,false,nature_environment,personal_development
The customer support was actually helpful today. Surprisingly good,positive,@tech_user_help,male,14,3,42,1234,65,false,false,community_social,shopping_retail
Another flight delay... airports are the worst sometimes,negative,@frequent_flyer,male,9,18,67,3421,52,true,false,transportation,personal_development
Just adopted a rescue cat! She's already settled in perfectly 🐱,positive,@animal_lover_123,female,19,25,187,5432,60,false,false,pets_animals,personal_development
The new superhero movie is absolutely incredible! Best one yet,positive,@movie_buff_critic,male,22,34,298,7654,61,true,false,entertainment,personal_development
Wifi is down again at the coffee shop. So frustrating,negative,@remote_worker_life,female,10,8,24,1345,51,false,false,food_drinks,technology
My grandmother's homemade cookies are the best in the world 🍪,positive,@family_traditions,female,16,6,78,2134,60,false,false,food_drinks,family_relationships
Construction noise starting at 6am again. No sleep for anyone,negative,@early_riser_not,male,6,12,45,1876,58,false,false,arts_culture,health_wellness
This documentary about ocean life is absolutely fascinating,positive,@documentary_fan,female,21,9,89,2543,55,false,false,entertainment,personal_development
The grocery store was out of everything I needed today,negative,@grocery_shopper_mom,female,15,4,18,987,52,false,false,shopping_retail,personal_development
My nephew just said his first word! Family moments are precious,positive,@proud_aunt_uncle,female,18,15,123,3456,58,false,false,family_relationships,personal_development
The concert last night was absolutely phenomenal! Worth every penny,positive,@live_music_lover,male,23,21,176,4567,64,false,false,entertainment,personal_development
Stuck behind slow drivers on the highway again. Why today?,negative,@highway_commuter,male,8,6,29,1234,56,false,false,transportation,personal_development
This art exhibition is truly inspiring! Creativity at its finest,positive,@art_gallery_visitor,female,14,11,92,2876,59,true,false,arts_culture,food_drinks
