Category,Sub-Category,Product ID (SKU),Product image,PIC,Product name,Brand,Description,Size,Original_Price,Discount (If any),Current price,Sale link (central online link)
Men,,CDS10006405,https://assets.central.co.th/adobe/dynamicmedia/deliver/dm-aid--962e8dbb-96a0-4c9c-a9da-7e3a3b5e5156/pacificunion-menchinoshortselasticatedcasual-cds10006405-1.jpg?quality=85&preferwebp=true,Picture,กางเกงชิโน่ขาสั้นผู้ชาย ขอบเอวยางยืด,PACIFIC_UNION,"กางเกงชิโน่ขาสั้นผู้ชาย ขอบเอวยางยืด
ดูดีมีสไตล์ได้ในทุกวันด้วย กางเกงขาสั้นลำลองจากแบรนด์ PACIFIC UNION ที่มาพร้อมกับดีไซน์ทันสมัย มีกระเป๋าทั้งสองข้าง ขอบเอวยางยืดสวมใส่ได้ง่าย ดีไซน์ทรงชิโน่ขาสั้นให้ความกระชับกระเชงมาขึ้น มีเชือกรูดซ่อน ผลิตจากผ้าโพลีเอสเตอร์คุณภาพดี 100% มอบความรู้สึกนุ่มน่าสัมผัส สวมใส่สบาย ระบายอากาศได้ดี สามารถใส่ได้ในทุกๆวัน พร้อมสีสันที่หลากหลายให้คุณสามารถมิกซ์แอนแมทช์ลุคได้สนุกมากยิ่งขึ้น

รายละเอียดผลิตภัณฑ์


วิธีดูแลรักษา : ซักเครื่อง,ซักมือ
เหมาะกับกิจกรรม : ทั่วไป
โอกาสที่สวมใส่ : ลำลอง
เพศ : ผู้ชาย
อายุ : ผู้ใหญ่
สี : น้ำตาลแดง
ขนาดเสื้อผ้า : M
มาตรฐานไซส์ : US
คอลเลคชั่น : Pacific Union Basic
วัสดุผ้า : ใยสังเคราะห์


คำแนะนำ:สีของผลิตภัณฑ์ที่แสดงบนเว็บไซต์อาจมีความแตกต่างกัน จากการตั้งค่าการแสดงผลของแต่ละหน้าจอ",M,399,,,
Men,,CDS10006429,https://assets.central.co.th/adobe/dynamicmedia/deliver/dm-aid--a15f272c-2c73-4dfb-b06c-319bf2b037e9/pacificunion-menchinoshortselasticatedcasual-cds10006429-1.jpg?quality=85&preferwebp=true,Picture,กางเกงชิโน่ขาสั้นผู้ชาย ขอบเอวยางยืด,PACIFIC_UNION,"กางเกงชิโน่ขาสั้นผู้ชาย ขอบเอวยางยืด
ดูดีมีสไตล์ได้ในทุกวันด้วย กางเกงขาสั้นลำลองจากแบรนด์ PACIFIC UNION ที่มาพร้อมกับดีไซน์ทันสมัย มีกระเป๋าทั้งสองข้าง ขอบเอวยางยืดสวมใส่ได้ง่าย ดีไซน์ทรงชิโน่ขาสั้นให้ความกระชับกระเชงมาขึ้น มีเชือกรูดซ่อน ผลิตจากผ้าโพลีเอสเตอร์คุณภาพดี 100% มอบความรู้สึกนุ่มน่าสัมผัส สวมใส่สบาย ระบายอากาศได้ดี สามารถใส่ได้ในทุกๆวัน พร้อมสีสันที่หลากหลายให้คุณสามารถมิกซ์แอนแมทช์ลุคได้สนุกมากยิ่งขึ้น

รายละเอียดผลิตภัณฑ์


วิธีดูแลรักษา : ซักเครื่อง,ซักมือ
เหมาะกับกิจกรรม : ทั่วไป
โอกาสที่สวมใส่ : ลำลอง
เพศ : ผู้ชาย
อายุ : ผู้ใหญ่
สี : น้ำตาลแดง
ขนาดเสื้อผ้า : L
มาตรฐานไซส์ : US
คอลเลคชั่น : Pacific Union Basic
วัสดุผ้า : ใยสังเคราะห์


คำแนะนำ:สีของผลิตภัณฑ์ที่แสดงบนเว็บไซต์อาจมีความแตกต่างกัน จากการตั้งค่าการแสดงผลของแต่ละหน้าจอ",L,399,,,
Men,,CDS10006436,https://assets.central.co.th/adobe/dynamicmedia/deliver/dm-aid--0049d786-836b-4b80-845a-977534ca8b44/pacificunion-menchinoshortselasticatedcasual-cds10006436-1.jpg?quality=85&preferwebp=true,Picture,กางเกงชิโน่ขาสั้นผู้ชาย ขอบเอวยางยืด,PACIFIC_UNION,"กางเกงชิโน่ขาสั้นผู้ชาย ขอบเอวยางยืด
ดูดีมีสไตล์ได้ในทุกวันด้วย กางเกงขาสั้นลำลองจากแบรนด์ PACIFIC UNION ที่มาพร้อมกับดีไซน์ทันสมัย มีกระเป๋าทั้งสองข้าง ขอบเอวยางยืดสวมใส่ได้ง่าย ดีไซน์ทรงชิโน่ขาสั้นให้ความกระชับกระเชงมาขึ้น มีเชือกรูดซ่อน ผลิตจากผ้าโพลีเอสเตอร์คุณภาพดี 100% มอบความรู้สึกนุ่มน่าสัมผัส สวมใส่สบาย ระบายอากาศได้ดี สามารถใส่ได้ในทุกๆวัน พร้อมสีสันที่หลากหลายให้คุณสามารถมิกซ์แอนแมทช์ลุคได้สนุกมากยิ่งขึ้น

รายละเอียดผลิตภัณฑ์


วิธีดูแลรักษา : ซักเครื่อง,ซักมือ
เหมาะกับกิจกรรม : ทั่วไป
โอกาสที่สวมใส่ : ลำลอง
เพศ : ผู้ชาย
อายุ : ผู้ใหญ่
สี : น้ำตาลแดง
ขนาดเสื้อผ้า : XL
มาตรฐานไซส์ : US
คอลเลคชั่น : Pacific Union Basic
วัสดุผ้า : ใยสังเคราะห์


คำแนะนำ:สีของผลิตภัณฑ์ที่แสดงบนเว็บไซต์อาจมีความแตกต่างกัน จากการตั้งค่าการแสดงผลของแต่ละหน้าจอ",XL,399,,,
Men,,CDS10007587,https://assets.central.co.th/adobe/dynamicmedia/deliver/dm-aid--9a8c3c3a-04cd-464c-ad36-9061a5a78243/defry01-mensweatershirtcollar-cds10007587-1.jpg?preferwebp=true&quality=85,Picture,เสื้อสเวตเตอร์ผู้ชาย คอปก,defry_01,"เสื้อสเวตเตอร์ผู้ชาย คอปก
เสื้อคุณภาพดีที่ตอบโจทย์ไลฟ์สไตล์ที่หลากหลายของผู้สวมใส่ ผลิตจากเนื้อผ้า Cotton100% ด้วยเนื้อผ้าเฉพาะตัวของแบรนด์ DeFry 01 ที่ใส่ใจในทุกกระบวนการผลิตตั้งแต่เป็นผืนผ้า เพื่อให้ได้เนื้อผ้าคุณภาพดีมีความนุ่มฟู น่าสัมผัส โดยผ่านกระบวนการฟอกอีกครั้งเพื่อเพิ่มความนุ่มยิ่งขึ้น ทำให้คุณสวมใส่สบายไม่ระคายผิวได้ตลอดทั้งวัน และสามารถทำกิจกรรมต่างๆได้อย่างมั่นใจ

รายละเอียดผลิตภัณฑ์


เหมาะกับกิจกรรม : ทั่วไป
โอกาสที่สวมใส่ : ลำลอง
เพศ : ผู้ชาย
อายุ : ผู้ใหญ่
สี : ส้ม
ขนาดเสื้อผ้า : S
มาตรฐานไซส์ : US
วัสดุผ้า : ฝ้าย/ คอตตอน


คำแนะนำ:สีของผลิตภัณฑ์ที่แสดงบนเว็บไซต์อาจมีความแตกต่างกัน จากการตั้งค่าการแสดงผลของแต่ละหน้าจอ",S,1590,,,
Men,,CDS10007594,https://assets.central.co.th/adobe/dynamicmedia/deliver/dm-aid--10741e02-3330-427e-b610-8ccf3f025977/defry01-mensweatershirtcollar-cds10007594-1.jpg?preferwebp=true&quality=85,Picture,เสื้อสเวตเตอร์ผู้ชาย คอปก,defry_01,"เสื้อสเวตเตอร์ผู้ชาย คอปก
เสื้อคุณภาพดีที่ตอบโจทย์ไลฟ์สไตล์ที่หลากหลายของผู้สวมใส่ ผลิตจากเนื้อผ้า Cotton100% ด้วยเนื้อผ้าเฉพาะตัวของแบรนด์ DeFry 01 ที่ใส่ใจในทุกกระบวนการผลิตตั้งแต่เป็นผืนผ้า เพื่อให้ได้เนื้อผ้าคุณภาพดีมีความนุ่มฟู น่าสัมผัส โดยผ่านกระบวนการฟอกอีกครั้งเพื่อเพิ่มความนุ่มยิ่งขึ้น ทำให้คุณสวมใส่สบายไม่ระคายผิวได้ตลอดทั้งวัน และสามารถทำกิจกรรมต่างๆได้อย่างมั่นใจ

รายละเอียดผลิตภัณฑ์


เหมาะกับกิจกรรม : ทั่วไป
โอกาสที่สวมใส่ : ลำลอง
เพศ : ผู้ชาย
อายุ : ผู้ใหญ่
สี : ส้ม
ขนาดเสื้อผ้า : M
มาตรฐานไซส์ : US
วัสดุผ้า : ฝ้าย/ คอตตอน


คำแนะนำ:สีของผลิตภัณฑ์ที่แสดงบนเว็บไซต์อาจมีความแตกต่างกัน จากการตั้งค่าการแสดงผลของแต่ละหน้าจอ",M,1590,,,
Men,,CDS10007600,https://assets.central.co.th/adobe/dynamicmedia/deliver/dm-aid--f33add94-2007-4010-8082-7d288a57185a/defry01-mensweatershirtcollar-cds10007600-1.jpg?preferwebp=true&quality=85,Picture,เสื้อสเวตเตอร์ผู้ชาย คอปก,defry_01,"เสื้อสเวตเตอร์ผู้ชาย คอปก
เสื้อคุณภาพดีที่ตอบโจทย์ไลฟ์สไตล์ที่หลากหลายของผู้สวมใส่ ผลิตจากเนื้อผ้า Cotton100% ด้วยเนื้อผ้าเฉพาะตัวของแบรนด์ DeFry 01 ที่ใส่ใจในทุกกระบวนการผลิตตั้งแต่เป็นผืนผ้า เพื่อให้ได้เนื้อผ้าคุณภาพดีมีความนุ่มฟู น่าสัมผัส โดยผ่านกระบวนการฟอกอีกครั้งเพื่อเพิ่มความนุ่มยิ่งขึ้น ทำให้คุณสวมใส่สบายไม่ระคายผิวได้ตลอดทั้งวัน และสามารถทำกิจกรรมต่างๆได้อย่างมั่นใจ

รายละเอียดผลิตภัณฑ์


เหมาะกับกิจกรรม : ทั่วไป
โอกาสที่สวมใส่ : ลำลอง
เพศ : ผู้ชาย
อายุ : ผู้ใหญ่
สี : ส้ม
ขนาดเสื้อผ้า : L
มาตรฐานไซส์ : US
วัสดุผ้า : ฝ้าย/ คอตตอน


คำแนะนำ:สีของผลิตภัณฑ์ที่แสดงบนเว็บไซต์อาจมีความแตกต่างกัน จากการตั้งค่าการแสดงผลของแต่ละหน้าจอ",L,1590,,,
Men,,CDS10007617,https://assets.central.co.th/adobe/dynamicmedia/deliver/dm-aid--c3395383-3684-433c-8c62-9561ae2df4d8/defry01-mensweatershirtcollar-cds10007617-1.jpg?preferwebp=true&quality=85,Picture,เสื้อสเวตเตอร์ผู้ชาย คอปก,defry_01,"เสื้อสเวตเตอร์ผู้ชาย คอปก
เสื้อคุณภาพดีที่ตอบโจทย์ไลฟ์สไตล์ที่หลากหลายของผู้สวมใส่ ผลิตจากเนื้อผ้า Cotton100% ด้วยเนื้อผ้าเฉพาะตัวของแบรนด์ DeFry 01 ที่ใส่ใจในทุกกระบวนการผลิตตั้งแต่เป็นผืนผ้า เพื่อให้ได้เนื้อผ้าคุณภาพดีมีความนุ่มฟู น่าสัมผัส โดยผ่านกระบวนการฟอกอีกครั้งเพื่อเพิ่มความนุ่มยิ่งขึ้น ทำให้คุณสวมใส่สบายไม่ระคายผิวได้ตลอดทั้งวัน และสามารถทำกิจกรรมต่างๆได้อย่างมั่นใจ

รายละเอียดผลิตภัณฑ์


เหมาะกับกิจกรรม : ทั่วไป
โอกาสที่สวมใส่ : ลำลอง
เพศ : ผู้ชาย
อายุ : ผู้ใหญ่
สี : ส้ม
ขนาดเสื้อผ้า : XL
มาตรฐานไซส์ : US
วัสดุผ้า : ฝ้าย/ คอตตอน


คำแนะนำ:สีของผลิตภัณฑ์ที่แสดงบนเว็บไซต์อาจมีความแตกต่างกัน จากการตั้งค่าการแสดงผลของแต่ละหน้าจอ",XL,1590,,,
Men,,CDS10007624,https://assets.central.co.th/adobe/dynamicmedia/deliver/dm-aid--47baf2be-b96e-404e-afda-4e6126065324/defry01-mensweatershirtcollar-cds10007624-1.jpg?preferwebp=true&quality=85,Picture,เสื้อสเวตเตอร์ผู้ชาย คอปก,defry_01,"เสื้อสเวตเตอร์ผู้ชาย คอปก
เสื้อคุณภาพดีที่ตอบโจทย์ไลฟ์สไตล์ที่หลากหลายของผู้สวมใส่ ผลิตจากเนื้อผ้า Cotton100% ด้วยเนื้อผ้าเฉพาะตัวของแบรนด์ DeFry 01 ที่ใส่ใจในทุกกระบวนการผลิตตั้งแต่เป็นผืนผ้า เพื่อให้ได้เนื้อผ้าคุณภาพดีมีความนุ่มฟู น่าสัมผัส โดยผ่านกระบวนการฟอกอีกครั้งเพื่อเพิ่มความนุ่มยิ่งขึ้น ทำให้คุณสวมใส่สบายไม่ระคายผิวได้ตลอดทั้งวัน และสามารถทำกิจกรรมต่างๆได้อย่างมั่นใจ

รายละเอียดผลิตภัณฑ์


เหมาะกับกิจกรรม : ทั่วไป
โอกาสที่สวมใส่ : ลำลอง
เพศ : ผู้ชาย
อายุ : ผู้ใหญ่
สี : เขียว
ขนาดเสื้อผ้า : S
มาตรฐานไซส์ : US
วัสดุผ้า : ฝ้าย/ คอตตอน


คำแนะนำ:สีของผลิตภัณฑ์ที่แสดงบนเว็บไซต์อาจมีความแตกต่างกัน จากการตั้งค่าการแสดงผลของแต่ละหน้าจอ",S,1590,,,
Men,,CDS10007631,https://assets.central.co.th/adobe/dynamicmedia/deliver/dm-aid--75756ab8-bcba-4ef4-a5f1-8223f6067d7a/defry01-mensweatershirtcollar-cds10007631-1.jpg?preferwebp=true&quality=85,Picture,เสื้อสเวตเตอร์ผู้ชาย คอปก,defry_01,"เสื้อสเวตเตอร์ผู้ชาย คอปก
เสื้อคุณภาพดีที่ตอบโจทย์ไลฟ์สไตล์ที่หลากหลายของผู้สวมใส่ ผลิตจากเนื้อผ้า Cotton100% ด้วยเนื้อผ้าเฉพาะตัวของแบรนด์ DeFry 01 ที่ใส่ใจในทุกกระบวนการผลิตตั้งแต่เป็นผืนผ้า เพื่อให้ได้เนื้อผ้าคุณภาพดีมีความนุ่มฟู น่าสัมผัส โดยผ่านกระบวนการฟอกอีกครั้งเพื่อเพิ่มความนุ่มยิ่งขึ้น ทำให้คุณสวมใส่สบายไม่ระคายผิวได้ตลอดทั้งวัน และสามารถทำกิจกรรมต่างๆได้อย่างมั่นใจ

รายละเอียดผลิตภัณฑ์


เหมาะกับกิจกรรม : ทั่วไป
โอกาสที่สวมใส่ : ลำลอง
เพศ : ผู้ชาย
อายุ : ผู้ใหญ่
สี : เขียว
ขนาดเสื้อผ้า : M
มาตรฐานไซส์ : US
วัสดุผ้า : ฝ้าย/ คอตตอน


คำแนะนำ:สีของผลิตภัณฑ์ที่แสดงบนเว็บไซต์อาจมีความแตกต่างกัน จากการตั้งค่าการแสดงผลของแต่ละหน้าจอ",M,1590,,,
Men,,CDS10007648,https://assets.central.co.th/adobe/dynamicmedia/deliver/dm-aid--02e9b0ab-4d53-4bd1-9c0c-ace7b2524f5f/defry01-mensweatershirtcollar-cds10007648-1.jpg?preferwebp=true&quality=85,Picture,เสื้อสเวตเตอร์ผู้ชาย คอปก,defry_01,"เสื้อสเวตเตอร์ผู้ชาย คอปก
เสื้อคุณภาพดีที่ตอบโจทย์ไลฟ์สไตล์ที่หลากหลายของผู้สวมใส่ ผลิตจากเนื้อผ้า Cotton100% ด้วยเนื้อผ้าเฉพาะตัวของแบรนด์ DeFry 01 ที่ใส่ใจในทุกกระบวนการผลิตตั้งแต่เป็นผืนผ้า เพื่อให้ได้เนื้อผ้าคุณภาพดีมีความนุ่มฟู น่าสัมผัส โดยผ่านกระบวนการฟอกอีกครั้งเพื่อเพิ่มความนุ่มยิ่งขึ้น ทำให้คุณสวมใส่สบายไม่ระคายผิวได้ตลอดทั้งวัน และสามารถทำกิจกรรมต่างๆได้อย่างมั่นใจ

รายละเอียดผลิตภัณฑ์


เหมาะกับกิจกรรม : ทั่วไป
โอกาสที่สวมใส่ : ลำลอง
เพศ : ผู้ชาย
อายุ : ผู้ใหญ่
สี : เขียว
ขนาดเสื้อผ้า : L
มาตรฐานไซส์ : US
วัสดุผ้า : ฝ้าย/ คอตตอน


คำแนะนำ:สีของผลิตภัณฑ์ที่แสดงบนเว็บไซต์อาจมีความแตกต่างกัน จากการตั้งค่าการแสดงผลของแต่ละหน้าจอ",L,1590,,,
